cpus=2
              ip-1803  [001] d.h6.   142.383818: funcgraph_entry:        0.220 us   |                            record_times(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383818: funcgraph_exit:         0.720 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383819: funcgraph_entry:                   |                          psi_group_change() {
              ip-1803  [001] d.h6.   142.383819: funcgraph_entry:        0.200 us   |                            record_times(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383819: funcgraph_exit:         0.760 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383820: funcgraph_entry:                   |                          psi_group_change() {
              ip-1803  [001] d.h6.   142.383820: funcgraph_entry:        0.200 us   |                            record_times(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383820: funcgraph_exit:         0.680 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383820: funcgraph_entry:                   |                          psi_group_change() {
              ip-1803  [001] d.h6.   142.383821: funcgraph_entry:        0.210 us   |                            record_times(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383821: funcgraph_exit:         0.670 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383821: funcgraph_exit:         4.620 us   |                        } (ret=0x0)
              ip-1803  [001] d.h6.   142.383822: funcgraph_exit:       + 25.290 us  |                      } (ret=0x0)
              ip-1803  [001] d.h6.   142.383822: funcgraph_entry:                   |                      wakeup_preempt() {
              ip-1803  [001] d.h6.   142.383822: funcgraph_entry:                   |                        wakeup_preempt_fair() {
              ip-1803  [001] d.h6.   142.383822: funcgraph_entry:                   |                          update_curr() {
              ip-1803  [001] d.h6.   142.383822: funcgraph_entry:        0.210 us   |                            update_se(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383823: funcgraph_exit:         0.660 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383823: funcgraph_entry:                   |                          update_curr() {
              ip-1803  [001] d.h6.   142.383823: funcgraph_entry:        0.210 us   |                            update_se(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383824: funcgraph_exit:         0.650 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383824: funcgraph_entry:                   |                          update_curr() {
              ip-1803  [001] d.h6.   142.383824: funcgraph_entry:        0.200 us   |                            update_se(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383825: funcgraph_exit:         0.650 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383825: funcgraph_entry:                   |                          update_curr() {
              ip-1803  [001] d.h6.   142.383825: funcgraph_entry:        0.200 us   |                            update_se(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383826: funcgraph_exit:         0.640 us   |                          } (ret=0x0)
              ip-1803  [001] d.h6.   142.383826: funcgraph_entry:                   |                          pick_eevdf() {
              ip-1803  [001] d.h6.   142.383826: funcgraph_entry:        0.210 us   |                            vruntime_eligible(); (ret=0x0)
              ip-1803  [001] d.h6.   142.383827: funcgraph_entry:        0.220 us   |                            vruntime_eligible(); (ret=0x1)
              ip-1803  [001] d.h6.   142.383827: funcgraph_exit:         1.110 us   |                          } (ret=0xffff88d880a50080)
              ip-1803  [001] d.h6.   142.383827: funcgraph_entry:        0.210 us   |                          avg_vruntime(); (ret=0x26f4a4e2f)
              ip-1803  [001] d.h6.   142.383828: funcgraph_exit:         5.570 us   |                        } (ret=0x0)
              ip-1803  [001] d.h6.   142.383828: funcgraph_exit:         6.030 us   |                      } (ret=0x0)
              ip-1803  [001] d.h6.   142.383828: funcgraph_exit:       + 32.240 us  |                    } (ret=0x0)
              ip-1803  [001] d.h6.   142.383829: funcgraph_entry:        0.210 us   |                    _raw_spin_unlock(); (ret=0x0)
              ip-1803  [001] d.h5.   142.383829: funcgraph_entry:        0.220 us   |                    _raw_spin_unlock_irqrestore(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383829: funcgraph_exit:       + 39.050 us  |                  } (ret=0x1)
              ip-1803  [001] d.h3.   142.383830: funcgraph_exit:       + 39.500 us  |                } (ret=0x1)
              ip-1803  [001] d.h3.   142.383830: funcgraph_exit:       + 39.950 us  |              } (ret=0x1)
              ip-1803  [001] d.h3.   142.383830: funcgraph_exit:       + 40.700 us  |            } (ret=0x0)
              ip-1803  [001] d.h3.   142.383830: funcgraph_entry:        0.220 us   |            _raw_spin_unlock_irqrestore(); (ret=0x0)
              ip-1803  [001] d.h2.   142.383831: funcgraph_exit:       + 42.060 us  |          } (ret=0x0)
              ip-1803  [001] d.h2.   142.383831: funcgraph_exit:       + 45.460 us  |        } (ret=0x0)
              ip-1803  [001] d.h2.   142.383831: funcgraph_entry:                   |        irq_exit_rcu() {
              ip-1803  [001] d..2.   142.383832: funcgraph_entry:        0.200 us   |          sched_core_idle_cpu(); (ret=0x0)
              ip-1803  [001] d..2.   142.383832: funcgraph_exit:         0.660 us   |        } (ret=0x0)
              ip-1803  [001] d..2.   142.383832: funcgraph_entry:        0.220 us   |        raw_irqentry_exit_cond_resched(); (ret=0x0)
              ip-1803  [001] ...1.   142.383833: funcgraph_exit:       ! 107.370 us |      } (ret=0xffff88d880330d00)
              ip-1803  [001] ...1.   142.383833: funcgraph_entry:                   |      queue_work_on() {
              ip-1803  [001] d..1.   142.383833: funcgraph_entry:        0.210 us   |        clear_pending_if_disabled(); (ret=0x0)
              ip-1803  [001] d..1.   142.383834: funcgraph_entry:                   |        __queue_work() {
